steps,episode_reward,episode_length,completed
92194,69.296205,120,True
92314,77.423675,120,True
92434,74.445726,120,True
92554,74.34516,120,True
92674,70.865485,120,True
92794,76.877341,120,True
92914,81.045598,120,True
93034,74.076355,120,True
93154,71.400911,120,True
93274,69.253862,120,True
93394,71.061339,120,True
93514,78.971045,120,True
93634,74.525058,120,True
93754,74.084199,120,True
93874,75.859161,120,True
93994,70.559478,120,True
94114,75.389781,120,True
94234,60.042605,120,True
94354,78.42633,120,True
94474,74.181602,120,True
94594,76.179684,120,True
94714,77.488599,120,True
94834,60.359575,120,True
94954,76.373956,120,True
95074,68.600414,120,True
95194,58.785292,120,True
95314,78.536357,120,True
95434,70.550639,120,True
95554,74.168054,120,True
95674,72.368805,120,True
95794,66.566935,120,True
95914,71.775577,120,True
96034,65.072878,120,True
96154,79.90592,120,True
96274,67.540078,120,True
96394,75.686467,120,True
96514,63.623524,120,True
96634,72.424151,120,True
96754,78.225859,120,True
96874,51.648349,120,True
96994,78.277077,120,True
97114,76.936164,120,True
97234,77.573488,120,True
97354,77.147214,120,True
97474,72.855459,120,True
97594,79.113544,120,True
97714,57.421972,120,True
97834,65.858983,120,True
97954,71.403709,120,True
98074,69.319534,120,True
98194,70.15907,120,True
98314,60.779099,120,True
98434,67.718081,120,True
98554,68.653883,120,True
98674,77.554216,120,True
98794,78.574461,120,True
98896,45.333478,102,False
99016,78.934006,120,True
99136,51.504154,120,True
99250,44.944296,114,False
99370,71.641538,120,True
99481,49.160973,111,False
99601,80.910384,120,True
99721,73.611907,120,True
99841,77.814624,120,True
99961,75.36863,120,True
100081,80.897638,120,True
100201,77.189363,120,True
100321,75.755384,120,True
